company,stock_name,fye,qtr,qrd,date_announced,cipr,pipr,ccpr,pcpr,cippl,pippl,ccppl,pcppl,cipplt,pipplt,ccpplt,pcpplt,ref
MNI HOLDINGS BERHAD,"MNI  
 ",30/9/2005,2,31/3/2006,29 Nov 2005  ,466086,461946,1064449,1090269,"58,375","20,905","80,087","21,427","39,748","12,768","51,101","9,725",575568
LEONG HUP HOLDINGS BERHAD,"LHH  
 ",30/9/2005,2,31/3/2006,29 Nov 2005  ,171736,173461,329563,325672,"17,875","1,914","34,128","-6,847","13,202","1,471","26,338","-9,253",575571
METRO KAJANG HOLDINGS BERHAD,"METROK  
 ",30/9/2005,4,30/9/2005,29 Nov 2005  ,71162,62261,235955,276843,"19,492","13,219","52,873","60,229","11,928","12,740","34,025","44,829",575574
KUMPULAN HARTANAH SELANGOR BERHAD,"KHSB  
 ",30/9/2005,3,31/12/2005,28 Nov 2005  ,44911,27599,110797,114381,"-2,082","2,029","1,043","4,196",-986,-386,213,"3,300",575581
CAB CAKARAN CORPORATION BERHAD,"CAB  
 ",30/9/2005,4,30/9/2005,29 Nov 2005  ,81607,73893,350782,212793,"3,041","5,783","14,896","11,979","1,214","4,646","10,056","9,441",575582
DRB-HICOM BERHAD,"DRBHCOM  
 ",30/9/2005,2,31/3/2006,28 Nov 2005  ,928355,1098553,1931280,2313012,"75,775","114,489","187,366","218,415","35,295","64,401","84,064","115,609",575589
BANENG HOLDINGS BHD,"BANENG  
 ",30/9/2005,3,31/12/2005,28 Nov 2005  ,78867,85805,250690,195977,"1,203","1,004","4,108","4,077","1,230",895,"3,404","2,941",575594
PDZ HOLDINGS BHD,"PDZ  
 ",30/9/2005,1,30/6/2006,29 Nov 2005  ,46663,51423,46663,51423,"1,949","3,774","1,949","3,774","1,643","3,386","1,643","3,386",575603
SYARIKAT TAKAFUL MALAYSIA BERHAD,"TAKAFUL  
 ",30/9/2005,1,30/6/2006,29 Nov 2005  ,197713,178023,197713,178023,"7,978",390,"7,978",390,"4,359","1,239","4,359","1,239",575612
GOLD BRIDGE ENGINEERING & CONSTRUCTION BERHAD,"GBRIDGE  
 ",30/9/2005,2,31/12/2005,30 Nov 2005  ,13453,18749,21507,46734,"-3,778",-27,"-6,386",-513,"-3,814","-1,290","-6,389","-2,186",575617
PRINSIPTEK CORPORATION BERHAD,"PSIPTEK  
 ",30/9/2005,3,31/12/2005,30 Nov 2005  ,70960,73679,216569,184130,"8,186","10,694","22,718","24,823","5,427","7,306","15,897","17,334",575621
TOMYPAK HOLDINGS BERHAD,"TOMYPAK  
 ",30/9/2005,3,31/12/2005,29 Nov 2005  ,37977,29634,100928,87373,640,-141,-676,563,636,-146,-690,549,575629
SBBS CONSORTIUM BERHAD,"SBBS  
 ",30/9/2005,3,31/12/2005,30 Nov 2005  ,913,24658,4021,65485,"-2,814","1,449","-7,911","1,869","-2,814","1,447","-7,911","1,867",575630
JOHOR LAND BERHAD,"JLAND  
 ",30/9/2005,3,31/12/2005,29 Nov 2005  ,23202,59160,59929,94145,"7,691","21,963","16,092","31,317","4,938","15,763","10,115","22,541",575632
PAXELENT CORPORATION BERHAD,"PAXELNT  
 ",30/9/2005,3,31/12/2005,30 Nov 2005  ,8667,10717,36076,25650,"2,908","-4,227","-1,182","-21,163",699,"-3,753","-2,387","-13,776",575633
